image_number,filename,component_count,components
1,1.png,2,a1-1 + a1-2
2,2.png,2,a1-1 + b1-1
3,3.png,2,a1-1 + b1-2
4,4.png,2,a1-1 + c1-1
5,5.png,2,a1-1 + c1-2
6,6.png,2,a1-2 + b1-1
7,7.png,2,a1-2 + b1-2
8,8.png,2,a1-2 + c1-1
9,9.png,2,a1-2 + c1-2
10,10.png,2,b1-1 + b1-2
11,11.png,2,b1-1 + c1-1
12,12.png,2,b1-1 + c1-2
13,13.png,2,b1-2 + c1-1
14,14.png,2,b1-2 + c1-2
15,15.png,2,c1-1 + c1-2
16,16.png,3,a1-1 + a1-2 + b1-1
17,17.png,3,a1-1 + a1-2 + b1-2
18,18.png,3,a1-1 + a1-2 + c1-1
19,19.png,3,a1-1 + a1-2 + c1-2
20,20.png,3,a1-1 + b1-1 + b1-2
21,21.png,3,a1-1 + b1-1 + c1-1
22,22.png,3,a1-1 + b1-1 + c1-2
23,23.png,3,a1-1 + b1-2 + c1-1
24,24.png,3,a1-1 + b1-2 + c1-2
25,25.png,3,a1-1 + c1-1 + c1-2
26,26.png,3,a1-2 + b1-1 + b1-2
27,27.png,3,a1-2 + b1-1 + c1-1
28,28.png,3,a1-2 + b1-1 + c1-2
29,29.png,3,a1-2 + b1-2 + c1-1
30,30.png,3,a1-2 + b1-2 + c1-2
31,31.png,3,a1-2 + c1-1 + c1-2
32,32.png,3,b1-1 + b1-2 + c1-1
33,33.png,3,b1-1 + b1-2 + c1-2
34,34.png,3,b1-1 + c1-1 + c1-2
35,35.png,3,b1-2 + c1-1 + c1-2
36,36.png,4,a1-1 + a1-2 + b1-1 + b1-2
37,37.png,4,a1-1 + a1-2 + b1-1 + c1-1
38,38.png,4,a1-1 + a1-2 + b1-1 + c1-2
39,39.png,4,a1-1 + a1-2 + b1-2 + c1-1
40,40.png,4,a1-1 + a1-2 + b1-2 + c1-2
41,41.png,4,a1-1 + a1-2 + c1-1 + c1-2
42,42.png,4,a1-1 + b1-1 + b1-2 + c1-1
43,43.png,4,a1-1 + b1-1 + b1-2 + c1-2
44,44.png,4,a1-1 + b1-1 + c1-1 + c1-2
45,45.png,4,a1-1 + b1-2 + c1-1 + c1-2
46,46.png,4,a1-2 + b1-1 + b1-2 + c1-1
47,47.png,4,a1-2 + b1-1 + b1-2 + c1-2
48,48.png,4,a1-2 + b1-1 + c1-1 + c1-2
49,49.png,4,a1-2 + b1-2 + c1-1 + c1-2
50,50.png,4,b1-1 + b1-2 + c1-1 + c1-2
51,51.png,5,a1-1 + a1-2 + b1-1 + b1-2 + c1-1
52,52.png,5,a1-1 + a1-2 + b1-1 + b1-2 + c1-2
53,53.png,5,a1-1 + a1-2 + b1-1 + c1-1 + c1-2
54,54.png,5,a1-1 + a1-2 + b1-2 + c1-1 + c1-2
55,55.png,5,a1-1 + b1-1 + b1-2 + c1-1 + c1-2
56,56.png,5,a1-2 + b1-1 + b1-2 + c1-1 + c1-2
57,57.png,6,a1-1 + a1-2 + b1-1 + b1-2 + c1-1 + c1-2
